IMN,28.07,9.665278
IP,-22.59,167.451083
IQQ,-20.374722,-70.1725
IRC,-33.616667,-78.836667
D,47.329469,19.001122
IRJ,-62.190833,-58.9825
IRJ,-62.199444,-58.961389
IS,41.898806,8.612083
ISD,78.061333,13.600306
IT,-22.8295,-43.362333
IVL,-29.884722,151.14
IY,-22.0675,-47.340667
IZA,38.915469,1.470411
IZD,31.446111,12.973611
J,-31.543333,-68.416667
JBA,33.877222,10.771411
JCW,-27.761389,153.334444
JER,33.878028,10.772639
JH,29.701667,107.376667
JHT,26.7019,94.148731
JIG,35.528333,105.72
JIL,36.776667,5.877222
JK,26.458333,106.98
JOA,39.564678,2.746628
JOA,-13.05,-64.666667
JPG,-22.987886,-43.368911
JRP,-20.813247,-49.406014
JSM,-44.058056,-70.434444
JT,26.717175,94.146508
JTA,37.195,104.08
JTG,30.871667,104.393333
JUA,-31.563889,-68.421389
JUL,-15.468056,-70.151111
JVS,-22.949167,136.145
JW,25.006667,110.018333
KAT,-33.710806,150.299622
KBV,69.505206,18.821697
KC,23.743333,109.215
KCY,-26.918889,152.572778
KDN,36.824861,10.309639
KDR,32.366667,13.616667
BJ,23.278278,69.671194
KG,68.662378,15.474278
KI,25.987278,95.674667
KII,-39.889111,143.875325
KIK,69.723792,29.869111
KIT,67.623072,24.897467
KJ,40.87,111.888333
KKS,69.750775,30.114486
KKU,24.913686,92.977539
KL,23.187472,94.054944
KM,24.132339,91.811036
KMG,25.016667,102.733333
KMP,-31.058333,152.79
KN,68.1528,14.649244
KNO,69.018853,23.022972
KNS,68.453997,27.451514
KPL,78.074153,14.223497
KR,24.30955,92.006286
KRA,67.819222,20.3375
KRY,-26.578611,151.844444
KT,68.419008,17.298589
KU,24.919797,92.987536
KV,69.811567,19.003083
KWE,26.52,106.795
KWL,25.21,110.038333
L,-42.892931,-71.112597
LAB,32.786944,21.965833
LAV,-28.089817,152.924789
LBN,23.743333,109.211667
LBR,27.291861,94.100306
LEC,-30.596389,138.428889
LEC,-30.598611,138.442222
LEV,44.544222,7.615389
LEZ,43.725389,7.326639
LHI,-31.521206,159.065633
LIM,-12.008611,-77.122778
LIS,-28.823056,153.2575
LLC,28.068333,112.211667
LLP,23.829722,92.625944
LNS,-21.6635,-49.733667
LO,37.876667,112.411667
LOA,-22.500278,-68.876944
LON,78.249733,15.401211
LOR,29.473611,17.974167
LP,23.834878,92.622608
LPZ,-16.507861,-68.169081
LR,24.870781,102.659847
LRD,41.552925,0.648022
LRE,-23.424444,144.282222
LRE,-23.428333,144.289167
LSO,22.984222,97.746194
LSO,22.979222,97.754528
LT,-41.543889,147.213056
LT,-41.561111,147.225
LTO,25.980656,-111.349528
LA,34.15,77.583333
LTV,-38.213611,146.475
LU,43.386861,6.525167
LUC,43.382778,6.255917
LVG,-37.141111,147.552222
LVG,-37.144722,147.548611
LX,-45.165528,169.479861
LXA,29.301667,91.001667
LXI,24.538333,103.743333
M,-35.513333,-69.558333
MAD,-37.406667,-72.424722
MAR,36.685164,2.782428
MB,30.418333,19.5725
MBI,-64.234722,-56.62
MBI,-64.231667,-56.6
MC,-26.597778,153.090278
MC,-26.592222,153.091667
MCL,-22.0425,-60.616944
MCO,-37.596156,149.718322
MCO,-37.596644,149.729081
MDG,-32.560928,149.593689
MDG,-32.565361,149.61625
MEA,30.563611,2.895
MER,-36.914253,149.899433
LYE,-34.141111,-63.3625
MDP,-37.929722,-57.576389
MDP,-37.939444,-57.575556
MF,34.342222,73.506722
